Number_of_node,Number_of_edge,duration
20,73,997.3049163818359
30,124,2992.868423461914
40,223,5021.095275878906
50,361,9973.526000976562
60,530,18954.992294311523
70,716,30930.99594116211
80,977,43931.96105957031
90,1231,91750.3833770752
100,1490,86777.6870727539
110,1792,110671.2818145752
120,2098,146609.06791687012
130,2470,210436.58256530762
140,2911,229402.3036956787
150,3345,287230.2532196045
160,3698,331117.3915863037
170,4318,406953.3348083496
180,4856,489731.5502166748
190,5375,575458.5266113281
200,5984,774299.8600006104
210,6587,1012292.1466827393
220,7130,1009462.1181488037
230,7896,1158900.499343872
240,8485,1719401.1211395264
250,9452,1407237.7681732178
260,10060,1480036.973953247
270,10811,1640611.4101409912
280,11575,1874978.0654907227
290,12498,2461718.5592651367
300,13376,3209416.389465332
310,14242,2651948.4519958496
320,15105,3625134.4680786133
330,16279,3562839.2696380615
340,17249,4025234.4608306885
350,17985,4121023.178100586
360,19202,4065014.8391723633
370,20579,5146876.573562622
380,21513,6356953.382492065
390,22472,5869303.464889526
400,23955,7007217.645645142
410,25052,7789168.834686279
420,26274,8695742.845535278
430,27492,7165824.174880981
440,28917,9802118.53981018
450,30280,9234719.514846802
460,31630,10005562.06703186
470,33058,9556838.274002075
480,34309,10645688.772201538
490,35637,13785132.40814209
