Number_of_node,Number_of_edge,duration
100,967,2991.914749145508
100,988,4006.8626403808594
100,980,3028.6312103271484
200,3934,1994.6098327636719
200,3998,2991.914749145508
200,4055,4956.483840942383
300,8924,2991.4379119873047
300,9190,2991.6763305664062
300,9105,2991.6763305664062
400,15817,3023.6244201660156
400,15998,9940.147399902344
400,16022,2990.245819091797
500,25106,2991.914749145508
500,24768,2991.914749145508
500,24823,2960.205078125
600,35760,10966.777801513672
600,36068,2956.867218017578
600,36090,2991.199493408203
700,49147,2991.914749145508
700,48691,8975.982666015625
700,48747,2991.914749145508
800,63932,2996.9215393066406
800,63912,2993.1068420410156
800,64061,11968.612670898438
900,80921,2994.537353515625
900,80560,2989.7689819335938
900,81440,2990.0074005126953
1000,100132,18984.079360961914
1000,99769,2990.9610748291016
1000,99785,1999.6166229248047
1100,120421,2988.100051879883
1100,120699,2994.060516357422
1100,120142,2992.1531677246094
1200,143771,2991.914749145508
1200,144003,2992.6300048828125
1200,144280,36901.71241760254
1300,168922,2992.6300048828125
1300,169305,2991.199493408203
1300,168841,2959.012985229492
1400,196037,2991.6763305664062
1400,196027,2991.4379119873047
1400,195270,2985.9542846679688
1500,225288,2992.1531677246094
1500,225135,2991.199493408203
1500,225145,2991.914749145508
1600,255332,104718.44673156738
1600,256048,2991.914749145508
1600,255638,1993.6561584472656
1700,288258,2991.4379119873047
1700,288122,2991.914749145508
1700,289282,2992.391586303711
1800,323345,33907.175064086914
1800,324391,2987.6232147216797
1800,324303,1994.8482513427734
1900,361336,2992.1531677246094
1900,360870,2989.7689819335938
1900,361298,2992.1531677246094
2000,400840,37895.917892456055
2000,399146,2991.6763305664062
2000,399626,2989.053726196289
2100,441568,2985.9542846679688
2100,440779,2991.199493408203
2100,439789,2992.1531677246094
2200,483897,2990.72265625
2200,484233,2992.1531677246094
2200,484440,1995.5635070800781
2300,529017,2992.1531677246094
2300,529432,2991.4379119873047
2300,528548,146589.0407562256
2400,576038,2991.914749145508
2400,575883,2990.4842376708984
2400,576279,1992.7024841308594
2500,625688,2992.1531677246094
2500,625300,2990.9610748291016
2500,622706,2991.914749145508
2600,674869,2991.914749145508
2600,676211,145610.57090759277
2600,673587,2990.72265625
2700,727999,2996.9215393066406
2700,728467,2991.199493408203
2700,729195,35908.22219848633
2800,782338,2989.053726196289
2800,783778,2989.053726196289
2800,784121,1993.417739868164
2900,840511,2992.391586303711
2900,839269,2985.4774475097656
2900,839034,2991.914749145508
3000,900417,2989.2921447753906
3000,900151,3007.650375366211
3000,899059,2992.391586303711
3100,960915,2987.384796142578
3100,960535,2994.060516357422
3100,961507,2992.1531677246094
3200,1024071,2990.245819091797
3200,1023260,2992.1531677246094
3200,1022875,3023.6244201660156
3300,1089578,2991.914749145508
3300,1086997,2991.6763305664062
3300,1089049,845739.3646240234
3400,1155808,2994.7757720947266
3400,1154882,2960.9203338623047
3400,1156027,2992.1531677246094
3500,1224463,2992.1531677246094
3500,1225765,2993.5836791992188
3500,1224773,2994.537353515625
3600,1294383,2991.199493408203
3600,1294865,2994.060516357422
3600,1294748,2994.537353515625
3700,1368964,2989.7689819335938
3700,1368265,2994.537353515625
3700,1370742,2991.914749145508
3800,1442411,2987.384796142578
3800,1444384,2992.6300048828125
3800,1442585,3988.027572631836
3900,1520282,2992.1531677246094
3900,1520884,2991.914749145508
3900,1520423,2992.1531677246094
4000,1600932,3000.2593994140625
4000,1598371,1994.6098327636719
4000,1600062,2992.6300048828125
4100,1679478,2992.391586303711
4100,1680429,2569097.9957580566
4100,1681429,3989.696502685547
4200,1764483,3026.247024536133
4200,1763369,2990.4842376708984
4200,1764681,2991.4379119873047
4300,1848619,2991.914749145508
4300,1849197,2992.868423461914
4300,1848946,3024.8165130615234
4400,1936417,3954.8873901367188
4400,1935041,3976.8218994140625
4400,1937108,2991.914749145508
4500,2024366,2991.914749145508
4500,2025604,1994.3714141845703
4500,2025109,2991.914749145508
4600,2115217,2991.6763305664062
4600,2116014,2991.914749145508
4600,2115255,2991.6763305664062
4700,2207690,2992.1531677246094
4700,2207338,2992.1531677246094
4700,2208938,3989.2196655273438
4800,2302447,2992.1531677246094
4800,2305945,2048930.8834075928
4800,2305752,2996.206283569336
4900,2398132,2987.1463775634766
4900,2400339,3024.1012573242188
4900,2399862,2992.6300048828125
5000,2500266,2991.6763305664062
5000,2497385,2991.6763305664062
5000,2497953,2993.8220977783203
