Number_of_node,Number_of_edge,duration
20,53,3988.7428283691406
30,141,8975.744247436523
40,239,15957.832336425781
50,367,29918.432235717773
60,541,49866.437911987305
70,750,77791.69082641602
80,933,132646.5606689453
90,1220,232379.43649291992
100,1477,245394.70672607422
110,1818,321140.5277252197
120,2085,430895.3285217285
130,2505,644235.6109619141
140,2921,831776.6189575195
150,3243,1136960.506439209
160,3844,1370379.2095184326
170,4302,1858040.3327941895
180,4804,2662839.889526367
190,5302,3185527.3246765137
200,6011,3948405.7426452637
210,6607,4451152.086257935
220,7232,5182157.278060913
230,7933,6643496.27494812
240,8343,7768233.53767395
250,9192,9369994.401931763
260,10035,10708416.223526001
270,10775,12530504.22668457
280,11673,14178593.873977661
290,12303,16327669.620513916
300,13403,18199884.65309143
310,14225,20981208.086013794
320,15376,23247660.160064697
330,16307,26597122.43080139
340,17066,29672678.94744873
350,18136,33828569.650650024
360,19270,37295300.72212219
370,20237,42339815.37818909
380,21501,46510223.627090454
390,22614,52037889.7190094
400,23739,57440448.04573059
410,24960,64632862.09106445
420,26478,70736214.63775635
430,27462,78222346.30584717
440,28898,86802507.4005127
450,30200,93510194.5400238
460,31566,102539397.23968506
470,32967,114010500.90789795
480,34309,124087400.91323853
490,35554,135401882.64846802
